epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.316,1.72921,4.50049,1.38101,0.00117,0.13542,0.00963,0.00698,2.1186,5.36935,1.74361,0.00016,0.00016,0.00016
2,37.4319,1.83978,4.17946,1.27754,0.00234,0.27083,0.02246,0.01911,2.09031,5.03878,1.55403,0.000336634,0.000336634,0.000336634
3,55.7019,1.92246,3.81141,1.33913,0.00252,0.29167,0.01651,0.0103,2.31845,5.10201,1.6756,0.000509704,0.000509704,0.000509704
4,74.0709,1.88576,3.43898,1.33372,0.00306,0.35417,0.01496,0.00936,2.39227,5.38968,1.60231,0.00067921,0.00067921,0.00067921
5,92.0438,2.03289,3.36982,1.32852,0.00315,0.36458,0.0039,0.00177,2.15679,5.11026,1.65282,0.000845152,0.000845152,0.000845152
6,109.996,2.07559,3.30877,1.38632,0.00243,0.28125,0.00272,0.0009,2.3016,4.93941,1.63483,0.00100753,0.00100753,0.00100753
7,128.015,1.93981,3.2321,1.41597,0.00243,0.28125,0.00381,0.00107,2.25768,4.87535,1.6838,0.00116634,0.00116634,0.00116634
8,145.848,2.11244,3.66208,1.38917,0.0027,0.3125,0.00257,0.00075,2.39603,4.9103,1.77064,0.00132159,0.00132159,0.00132159
9,163.831,2.21771,3.41636,1.47126,0.0018,0.20833,0.00123,0.00034,3.02998,5.33391,2.97822,0.00147328,0.00147328,0.00147328
10,181.861,2.09153,2.91368,1.43705,0.00411,0.03125,0.00212,0.00058,2.7814,8.26815,4.07647,0.0016214,0.0016214,0.0016214
11,200.133,2.1337,2.90176,1.47271,0.00402,0.11458,0.00155,0.00062,2.70852,12.987,4.53429,0.00176596,0.00176596,0.00176596
